iter	Passed	Remaining
0	144	144032
1	147	73745
2	151	50233
3	155	38760
4	159	31801
5	163	27043
6	167	23724
7	170	21144
8	173	19138
9	177	17554
10	181	16280
11	184	15188
12	187	14271
13	191	13500
14	194	12798
15	198	12181
16	201	11657
17	205	11208
18	208	10789
19	212	10391
20	214	10016
21	218	9697
22	221	9412
23	224	9140
24	227	8883
25	230	8645
26	234	8436
27	237	8236
28	240	8050
29	243	7869
30	246	7706
31	249	7546
32	252	7392
33	254	7216
34	257	7087
35	259	6960
36	263	6848
37	265	6731
38	268	6627
39	272	6530
40	274	6431
41	277	6336
42	280	6252
43	284	6174
44	287	6099
45	291	6045
46	294	5977
47	298	5911
48	301	5843
49	304	5779
50	307	5716
51	310	5658
52	313	5599
53	316	5545
54	319	5492
55	322	5443
56	326	5394
57	329	5345
58	332	5301
59	335	5255
60	338	5213
61	341	5168
62	344	5130
63	347	5088
64	352	5071
65	355	5032
66	358	4997
67	361	4956
68	365	4934
69	368	4902
70	373	4882
71	376	4849
72	380	4828
73	383	4799
74	387	4773
75	389	4737
76	393	4711
77	395	4672
78	397	4635
79	400	4605
80	403	4582
81	407	4558
82	410	4532
83	412	4501
84	415	4475
85	418	4451
86	421	4428
87	425	4406
88	427	4378
89	430	4353
90	433	4332
91	437	4316
92	440	4300
93	444	4283
94	448	4271
95	452	4261
96	456	4252
97	461	4246
98	465	4240
99	470	4233
100	474	4227
101	479	4224
102	484	4217
103	488	4210
104	493	4208
105	498	4208
106	503	4200
107	507	4192
108	513	4195
109	518	4191
110	522	4187
111	528	4187
112	532	4182
113	537	4177
114	543	4181
115	547	4175
116	552	4170
117	557	4166
118	561	4158
119	566	4155
120	572	4155
121	576	4150
122	580	4136
123	583	4124
124	586	4108
125	590	4095
126	593	4079
127	596	4065
128	600	4052
129	603	4039
130	606	4025
131	610	4012
132	613	3998
133	617	3988
134	620	3975
135	623	3963
136	627	3950
137	631	3942
138	635	3934
139	638	3924
140	642	3913
141	646	3904
142	649	3893
143	653	3882
144	656	3871
145	660	3861
146	663	3850
147	667	3845
148	671	3833
149	675	3828
150	677	3810
151	681	3801
152	684	3791
153	688	3780
154	691	3771
155	696	3766
156	699	3757
157	703	3748
158	707	3741
159	710	3731
160	714	3722
161	717	3712
162	721	3706
163	725	3698
164	729	3689
165	732	3680
166	734	3666
167	739	3660
168	742	3651
169	745	3641
170	749	3632
171	754	3629
172	757	3621
173	761	3612
174	764	3603
175	768	3595
176	771	3588
177	775	3580
178	778	3571
179	782	3565
180	786	3559
181	790	3550
182	793	3541
183	797	3536
184	801	3529
185	804	3521
186	808	3513
187	811	3505
188	814	3497
189	818	3489
190	822	3482
191	826	3476
192	829	3468
193	832	3460
194	836	3453
195	840	3446
196	843	3438
197	847	3431
198	850	3423
199	853	3415
200	857	3409
201	861	3401
202	864	3394
203	868	3386
204	871	3379
205	874	3372
206	878	3364
207	881	3357
208	885	3351
209	889	3344
210	892	3336
211	895	3329
212	899	3322
213	902	3316
214	906	3309
215	909	3302
216	913	3295
217	916	3289
218	919	3279
219	923	3273
220	926	3265
221	929	3258
222	933	3252
223	936	3245
224	940	3238
225	943	3231
226	947	3224
227	950	3218
228	953	3211
229	957	3204
230	960	3196
231	963	3189
232	966	3183
233	970	3176
234	974	3170
235	977	3165
236	981	3158
237	984	3151
238	987	3145
239	991	3139
240	995	3133
241	998	3126
242	1001	3120
243	1005	3114
244	1008	3108
245	1012	3102
246	1015	3096
247	1019	3090
248	1022	3085
249	1026	3079
250	1029	3073
251	1033	3067
252	1036	3061
253	1040	3055
254	1043	3049
255	1047	3043
256	1049	3034
257	1052	3028
258	1056	3022
259	1060	3017
260	1063	3012
261	1067	3006
262	1071	3001
263	1074	2995
264	1077	2989
265	1081	2983
266	1084	2977
267	1087	2971
268	1091	2966
269	1094	2960
270	1098	2955
