iter	Logloss
0	0.6891137944
1	0.685225642
2	0.6818057215
3	0.6781929815
4	0.6732607553
5	0.6690051057
6	0.6654371661
7	0.6615387673
8	0.6574474601
9	0.6540921233
10	0.6504477567
11	0.6467196442
12	0.6427944982
13	0.639155277
14	0.6356477072
15	0.631050997
16	0.6272840722
17	0.6239085974
18	0.6207114818
19	0.6174097283
20	0.6137057903
21	0.6107632837
22	0.6084963776
23	0.6053440626
24	0.6021222846
25	0.5988353907
26	0.5956854266
27	0.5926863205
28	0.589454917
29	0.5862426758
30	0.5827516068
31	0.5796216033
32	0.5764126445
33	0.5733641247
34	0.5703316622
35	0.5668374882
36	0.5641066085
37	0.5611847722
38	0.5582303779
39	0.5550785508
40	0.5523192384
41	0.5494469044
42	0.5463876059
43	0.5427186655
44	0.5395061138
45	0.5368788076
46	0.5344378893
47	0.5318097403
48	0.5294148645
49	0.5262568274
50	0.523857649
51	0.5212966121
52	0.518403519
53	0.5155265719
54	0.5127488957
55	0.5107410342
56	0.5085139607
57	0.5060902085
58	0.5034076779
59	0.5006876214
60	0.4980329469
61	0.4958696144
62	0.4932745113
63	0.4909484331
64	0.4886900436
65	0.4864941974
66	0.4848998757
67	0.4827281597
68	0.4806221363
69	0.4782335148
70	0.4758673823
71	0.4735094115
72	0.4705620256
73	0.4687157564
74	0.4667203149
75	0.4645319207
76	0.4626954988
77	0.4609595898
78	0.4594951896
79	0.4572191017
80	0.4550899683
81	0.4529773801
82	0.4508095675
83	0.4485270478
84	0.4471046536
85	0.4447386098
86	0.4430958504
87	0.4409493735
88	0.4391809508
89	0.4371537497
90	0.4352809995
91	0.4332215065
92	0.4312124918
93	0.4291974001
94	0.427064319
95	0.425366069
96	0.4237957001
97	0.4218350787
98	0.4202772628
99	0.4184917184
100	0.4167337196
101	0.4151442772
102	0.4134655442
103	0.4115129515
104	0.4096142081
105	0.4080893494
106	0.4066036136
107	0.4050335551
108	0.4034234424
109	0.4017177848
110	0.4001641828
111	0.3989182849
112	0.3976707458
113	0.3960758919
114	0.3945552915
115	0.3925172229
116	0.3915063281
117	0.3898690689
118	0.3883271772
119	0.3867994796
120	0.3854179382
121	0.3843558555
122	0.3826941557
123	0.3814597906
124	0.3801203883
125	0.3789402274
126	0.3777567841
127	0.3761475142
128	0.3744756566
129	0.3729297283
130	0.3715284924
131	0.3698490498
132	0.3685761607
133	0.3675473235
134	0.3661573987
135	0.3646746347
136	0.3632350744
137	0.3616259375
138	0.3603026368
139	0.3589661399
140	0.3574939107
141	0.3557493964
142	0.3547707048
143	0.3530528046
144	0.3517293708
145	0.3506612778
146	0.349585023
147	0.3484467795
148	0.3470429709
149	0.3454546818
150	0.3445845316
151	0.3431579235
152	0.3419121143
153	0.3407276952
154	0.3393580636
155	0.3383181372
156	0.3371168403
157	0.3359448633
158	0.3348966643
159	0.3335872916
160	0.3325691223
161	0.3311670658
162	0.3301572134
163	0.3291530609
164	0.3276392471
165	0.3263767597
166	0.3253479669
167	0.3241558519
168	0.3231741661
169	0.3222065859
170	0.3210406858
171	0.3199623906
172	0.31873255
173	0.3176045529
174	0.3169184175
175	0.3160687602
176	0.3150755638
